CUSTOMER_ID,GENDER,AGE,HOUSEHOLD_INCOME,YEARS_AS_CUSTOMER,CUSTOMER_SUBSCRIPTION_COUNT,CUSTOMER_REVENUE
33,F,23,"$33,000 ",2,3,$45 
42,F,22,"$11,000 ",2,5,$75 
79,M,58,"$24,000 ",20,1,$15 
82,M,47,"$180,000 ",14,1,$20 
142,M,25,"$24,000 ",3,1,$25 
173,F,21,"$22,000 ",1,5,$75 
225,M,49,"$36,000 ",15,2,$30 
316,F,24,"$22,000 ",3,3,$45 
358,M,31,"$36,000 ",6,1,$25 
359,M,40,"$72,000 ",11,1,$20 
412,M,55,"$24,000 ",18,1,$15 
426,M,28,"$60,000 ",5,5,$125 
434,M,39,"$60,000 ",10,1,$15 
451,M,32,"$36,000 ",7,3,$45 
463,F,43,"$44,000 ",12,2,$30 
487,M,57,"$48,000 ",19,7,$140 
532,M,20,"$12,000 ",1,2,$50 
681,M,51,"$156,000 ",16,6,$120 
727,F,20,"$22,000 ",1,6,$90 
812,M,37,"$60,000 ",9,2,$40 
833,M,41,"$36,000 ",11,2,$30 
889,M,31,"$36,000 ",6,2,$40 
934,M,31,"$36,000 ",6,5,$75 
967,M,60,"$84,000 ",21,4,$80 
975,F,23,"$11,000 ",2,2,$50 
980,U,46,"$22,000 ",14,2,$50 
1119,F,37,"$44,000 ",9,1,$15 
1225,M,34,"$36,000 ",8,3,$45 
1236,M,71,"$48,000 ",26,5,$75 
1253,F,24,"$44,000 ",3,3,$45 
1281,M,38,"$36,000 ",10,3,$45 
1287,M,50,"$48,000 ",16,3,$45 
1293,M,27,"$12,000 ",4,4,$60 
1306,M,42,"$24,000 ",12,1,$25 
1315,M,64,"$12,000 ",23,1,$15 
1348,F,33,"$22,000 ",7,2,$50 
1361,M,41,"$72,000 ",11,7,$140 
1362,M,45,"$36,000 ",13,1,$15 
1387,M,63,"$96,000 ",22,4,$80 
1396,F,36,"$99,000 ",9,4,$60 
1409,F,52,"$77,000 ",17,2,$30 
1563,M,44,"$96,000 ",13,6,$120 
1674,M,37,"$60,000 ",9,1,$15 
1678,F,52,"$22,000 ",17,2,$120 
1684,F,29,"$22,000 ",5,1,$15 
1689,M,44,"$180,000 ",13,10,$800 
1823,M,49,"$12,000 ",15,1,$25 
1832,F,32,"$44,000 ",7,8,$120 
1978,F,50,"$99,000 ",16,7,$140 
2037,M,34,"$36,000 ",8,1,$25 
2076,F,52,"$33,000 ",17,1,$15 
2089,F,47,"$99,000 ",14,1,$20 
2163,M,26,"$24,000 ",4,3,$45 
2224,M,45,"$60,000 ",13,1,$20 
2269,M,39,"$84,000 ",10,5,$75 
2281,F,34,"$33,000 ",8,1,$15 
2291,F,24,"$44,000 ",3,2,$30 
2320,U,24,"$88,000 ",3,5,$75 
2335,M,25,"$60,000 ",3,5,$75 
2338,M,24,"$72,000 ",3,7,$105 
2391,F,40,"$44,000 ",11,7,$140 
2400,M,45,"$96,000 ",13,1,$15 
2445,M,31,"$12,000 ",6,2,$50 
2502,M,34,"$12,000 ",8,3,$45 
2540,F,20,"$88,000 ",1,13,$195 
2557,M,25,"$24,000 ",3,2,$50 
2604,M,26,"$24,000 ",4,9,$180 
2649,M,31,"$108,000 ",6,8,$160 
2654,F,40,"$33,000 ",11,1,$15 
2667,M,45,"$48,000 ",13,1,$15 
2681,M,44,"$204,000 ",13,2,$40 
2684,F,50,"$55,000 ",16,5,$75 
2697,F,23,"$33,000 ",2,6,$90 
2751,M,25,"$12,000 ",3,2,$50 
2753,M,22,"$48,000 ",2,6,$90 
2786,F,33,"$44,000 ",7,1,$15 
2793,F,22,"$33,000 ",2,2,$50 
2831,M,26,"$12,000 ",4,1,$25 
2875,M,24,"$48,000 ",3,2,$30 
2999,M,41,"$96,000 ",11,2,$40 
3008,M,32,"$96,000 ",7,3,$45 
3043,M,26,"$108,000 ",4,5,$75 
3052,F,41,"$22,000 ",11,2,$30 
3080,M,33,"$12,000 ",7,1,$60 
3083,M,30,"$12,000 ",6,1,$15 
3106,F,43,"$22,000 ",12,3,$45 
3108,M,39,"$60,000 ",10,11,$165 
3110,M,42,"$12,000 ",12,1,$15 
3113,M,38,"$72,000 ",10,4,$60 
3143,M,23,"$72,000 ",2,7,$140 
3146,F,24,"$44,000 ",3,4,$60 
3162,F,41,"$33,000 ",11,4,$60 
3164,M,32,"$12,000 ",7,1,$15 
3192,M,42,"$24,000 ",12,2,$30 
3193,F,32,"$22,000 ",7,1,$25 
3215,M,45,"$204,000 ",13,4,$80 
3260,F,27,"$44,000 ",4,2,$50 
3324,F,52,"$121,000 ",17,9,$180 
3347,F,25,"$88,000 ",3,4,$60 
3387,M,70,"$72,000 ",26,1,$15 
3397,F,24,"$22,000 ",3,3,$75 
3425,M,22,"$24,000 ",2,3,$45 
3531,M,28,"$24,000 ",5,1,$25 
3547,M,27,"$84,000 ",4,1,$15 
3576,F,31,"$66,000 ",6,4,$60 
3624,F,22,"$44,000 ",2,4,$60 
3687,M,58,"$48,000 ",20,1,$15 
3688,M,31,"$48,000 ",6,1,$15 
3720,M,44,"$36,000 ",13,2,$30 
3751,M,35,"$24,000 ",8,1,$15 
3852,M,29,"$48,000 ",5,1,$15 
3868,F,27,"$33,000 ",4,3,$45 
3870,M,34,"$24,000 ",8,3,$45 
3886,M,41,"$84,000 ",11,7,$140 
3891,F,63,"$11,000 ",22,2,$30 
3897,M,45,"$24,000 ",13,1,$15 
3901,M,45,"$48,000 ",13,5,$100 
3906,M,44,"$36,000 ",13,5,$100 
3910,M,51,"$36,000 ",16,1,$20 
3939,M,27,"$36,000 ",4,4,$60 
3940,M,47,"$60,000 ",14,2,$40 
3948,F,57,"$44,000 ",19,6,$120 
3956,M,45,"$72,000 ",13,1,$15 
3964,F,24,"$33,000 ",3,3,$75 
3972,M,27,"$48,000 ",4,4,$60 
4062,F,28,"$77,000 ",5,4,$60 
4071,F,32,"$33,000 ",7,7,$140 
4079,M,55,"$60,000 ",18,2,$40 
4083,F,41,"$33,000 ",11,7,$140 
4149,M,24,"$36,000 ",3,7,$140 
4174,F,26,"$11,000 ",4,7,$105 
4219,M,31,"$84,000 ",6,4,$80 
4231,F,38,"$77,000 ",10,7,$140 
4274,M,73,"$168,000 ",27,3,$60 
4319,U,21,"$121,000 ",1,10,$150 
4356,M,22,"$60,000 ",2,5,$75 
4372,M,45,"$96,000 ",13,4,$80 
4386,M,34,"$60,000 ",8,5,$75 
4400,F,26,"$11,000 ",4,1,$25 
4406,M,45,"$84,000 ",13,13,$260 
4413,M,31,"$48,000 ",6,2,$30 
4425,F,56,"$11,000 ",19,3,$60 
4466,M,58,"$84,000 ",20,3,$45 
4469,M,24,"$96,000 ",3,3,$60 
4489,F,86,$0 ,34,2,$30 
4509,U,43,"$121,000 ",12,6,$120 
4550,M,44,"$72,000 ",13,1,$15 
4586,M,63,"$12,000 ",22,2,$30 
4604,F,30,"$55,000 ",6,3,$45 
4620,F,30,"$22,000 ",6,1,$25 
4664,M,32,"$24,000 ",7,11,$220 
4682,F,39,"$33,000 ",10,1,$20 
4689,F,35,"$22,000 ",8,1,$15 
4714,M,30,"$60,000 ",6,9,$180 
4736,M,24,"$48,000 ",3,1,$15 
4761,M,30,"$60,000 ",6,4,$80 
4774,M,30,"$60,000 ",6,4,$80 
4783,F,23,"$11,000 ",2,3,$45 
4792,F,22,"$22,000 ",2,1,$15 
4815,M,28,"$12,000 ",5,3,$75 
4905,M,46,"$60,000 ",14,1,$20 
4950,F,29,"$11,000 ",5,3,$45 
4977,M,26,"$36,000 ",4,3,$75 
4981,F,35,"$11,000 ",8,1,$25 
4985,M,26,"$36,000 ",4,3,$75 
5017,F,20,"$33,000 ",1,5,$125 
5029,F,22,"$33,000 ",2,5,$75 
5151,M,29,"$84,000 ",5,4,$80 
5157,F,55,"$44,000 ",18,1,$15 
5254,M,25,"$60,000 ",3,1,$15 
5314,M,37,"$24,000 ",9,1,$15 
5340,M,22,"$48,000 ",2,3,$45 
5363,F,25,"$55,000 ",3,3,$45 
5522,F,41,"$77,000 ",11,4,$80 
5528,F,53,"$66,000 ",17,4,$80 
5589,M,37,"$24,000 ",9,2,$120 
5593,M,54,"$36,000 ",18,3,$45 
5646,M,42,"$120,000 ",12,5,$100 
5688,M,26,"$24,000 ",4,3,$75 
5690,M,31,"$96,000 ",6,6,$90 
5699,M,24,"$48,000 ",3,8,$120 
5717,F,24,"$22,000 ",3,7,$105 
5797,M,46,"$72,000 ",14,2,$30 
5849,M,31,"$108,000 ",6,5,$100 
5869,M,72,"$12,000 ",27,1,$25 
5889,F,36,"$22,000 ",9,2,$120 
5971,M,47,"$36,000 ",14,3,$45 
5986,M,27,"$108,000 ",4,8,$160 
5994,M,27,"$156,000 ",4,8,$160 
6018,F,25,"$33,000 ",3,1,$25 
6031,M,46,"$48,000 ",14,3,$75 
6048,M,35,"$48,000 ",8,2,$40 
6050,M,27,"$48,000 ",4,3,$45 
6054,U,20,"$88,000 ",1,8,$120 
6102,M,41,"$84,000 ",11,2,$40 
6137,F,29,"$99,000 ",5,6,$120 
6141,M,21,"$48,000 ",1,1,$15 
6203,M,42,"$120,000 ",12,7,$140 
6212,M,27,"$24,000 ",4,1,$15 
6221,M,41,"$108,000 ",11,4,$80 
6225,F,45,"$55,000 ",13,2,$30 
6255,F,70,"$22,000 ",26,1,$25 
6328,F,47,$0 ,14,5,$75 
6361,M,32,"$60,000 ",7,1,$15 
6396,M,29,"$12,000 ",5,1,$25 
6405,F,25,"$110,000 ",3,9,$180 
6435,M,51,"$60,000 ",16,4,$60 
6436,F,53,"$22,000 ",17,1,$15 
6514,F,40,"$154,000 ",11,5,$100 
6520,F,49,"$55,000 ",15,5,$75 
6527,M,43,"$36,000 ",12,3,$60 
6561,F,54,"$33,000 ",18,1,$15 
6567,F,24,"$33,000 ",3,6,$90 
6598,F,30,"$22,000 ",6,2,$30 
6613,M,54,"$132,000 ",18,9,$180 
6614,M,41,"$96,000 ",11,4,$80 
6619,M,29,"$24,000 ",5,7,$105 
6644,F,36,"$44,000 ",9,2,$30 
6646,M,31,"$84,000 ",6,2,$30 
6673,M,48,"$96,000 ",15,2,$30 
6718,M,66,"$48,000 ",24,1,$15 
6746,M,58,"$12,000 ",20,1,$15 
6748,M,28,"$48,000 ",5,5,$75 
6762,M,27,"$120,000 ",4,4,$60 
6793,F,32,"$187,000 ",7,1,$20 
6807,M,27,"$12,000 ",4,1,$15 
7228,F,34,"$77,000 ",8,2,$30 
7323,F,39,"$44,000 ",10,3,$60 
7464,F,31,"$22,000 ",6,2,$50 
7551,F,48,"$22,000 ",15,4,$80 
7552,M,60,"$60,000 ",21,1,$15 
7579,M,42,"$60,000 ",12,3,$45 
7580,M,70,"$156,000 ",26,6,$120 
7606,F,22,"$22,000 ",2,6,$90 
7619,F,48,"$11,000 ",15,1,$15 
7631,M,49,"$72,000 ",15,5,$75 
7639,M,73,"$12,000 ",27,1,$60 
7647,F,28,"$77,000 ",5,5,$100 
7661,M,57,"$36,000 ",19,1,$15 
7674,M,31,"$36,000 ",6,1,$25 
7690,M,57,"$36,000 ",19,1,$15 
7755,U,39,"$99,000 ",10,2,$30 
7805,M,26,"$12,000 ",4,2,$120 
7866,F,45,"$88,000 ",13,8,$120 
7966,M,30,"$36,000 ",6,1,$15 
8028,M,48,"$48,000 ",15,3,$45 
8041,M,24,"$48,000 ",3,2,$30 
8042,M,36,"$24,000 ",9,6,$120 
8114,M,21,$0 ,1,1,$60 
8202,M,32,"$84,000 ",7,10,$150 
8213,M,29,"$36,000 ",5,2,$40 
8216,F,41,"$33,000 ",11,1,$25 
8268,F,31,"$22,000 ",6,1,$15 
8546,M,32,$0 ,7,1,$25 
8642,M,21,"$12,000 ",1,6,$150 
8657,M,30,"$60,000 ",6,5,$75 
8723,M,24,"$84,000 ",3,8,$160 
8737,M,54,"$108,000 ",18,9,$180 
8761,M,37,"$60,000 ",9,2,$30 
8805,M,32,"$36,000 ",7,6,$120 
8809,M,27,"$96,000 ",4,3,$60 
8841,F,52,"$66,000 ",17,1,$15 
8906,M,40,"$60,000 ",11,1,$15 
8913,M,35,"$60,000 ",8,5,$75 
8916,M,58,"$12,000 ",20,2,$30 
8922,M,28,"$96,000 ",5,3,$60 
8947,F,45,"$22,000 ",13,1,$15 
8966,M,59,"$72,000 ",20,7,$140 
9014,F,74,"$44,000 ",28,1,$15 
9058,F,27,"$44,000 ",4,1,$25 
9118,F,26,"$77,000 ",4,6,$90 
9130,M,59,"$12,000 ",20,1,$25 
9166,F,49,"$66,000 ",15,7,$105 
9170,M,39,"$72,000 ",10,8,$120 
9171,F,45,"$33,000 ",13,2,$30 
9237,F,23,"$55,000 ",2,4,$60 
9239,F,42,"$55,000 ",12,1,$15 
9440,F,32,"$44,000 ",7,1,$20 
9445,U,20,"$33,000 ",1,5,$125 
9449,F,25,"$11,000 ",3,4,$60 
9469,M,33,"$48,000 ",7,6,$120 
9484,F,62,"$66,000 ",22,4,$80 
9486,M,40,"$24,000 ",11,1,$15 
9559,F,23,"$33,000 ",2,1,$25 
9583,M,42,"$24,000 ",12,2,$120 
9682,M,60,"$108,000 ",21,1,$20 
9711,F,26,"$88,000 ",4,6,$120 
9896,F,51,"$110,000 ",16,2,$30 
9936,M,44,"$108,000 ",13,5,$100 
